Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
NA,Contacta con el organizador para solicitar un reembolso.,"CONECTANDO CUERPOS A medida que calentamos conectaremos con nuestra conciencia corporal y desarrollaremos una fisicalidad propia a través de los sentidos del tacto y el sonido, en lugar de la visión. Explorando las múltiples texturas y posibilidades del cuerpo. Esta sensación de conexión con nuestro cuerpo y con el grupo nos ayudará a pasar a tareas que intercambien peso y a empezar a bailar en contacto con otros cuerpos. Sintonizados unos con otros encontraremos el placer y la organicidad en el movimiento. Es una investigación de aproximadamente 1 hora y media que toma como punto de partida una improvisación guiada y se desarrolla a través de diferentes pautas de exploración. Habitaremos diferentes estados del cuerpo, despertando nuestra sensibilidad y poniéndonos a prueba no sólo físicamente sino también creativamente, a través del imaginario y los sentidos del tacto y el sonido. Te invito a investigar en tu cuerpo para viajar de forma colectiva a través de diferentes estados físicos y emocionales. Apto para todos los niveles",7.99,7.99,EUR,Isabel Alvarez,https://schema.org/EventScheduled,2024-03-12T19:00:00Z,2024-03-12T20:30:00Z,Laboratorio de Improvisación,¡Ven y únete a nuestro Laboratorio de Improvisación para divertirte y aprender a moverte en grupo! Apto para todos los niveles.,https://www.eventbrite.co.uk/e/entradas-laboratorio-de-improvisacion-848202716157,barcelona,Sold out
1 hour 30 minutes,Contact the organizer to request a refund.,"Bring an open heart, a curious mind, and any inner questions you may have. Our instructor Camille @elemental.longevity will guide you through intuitive development exercises and personalised tarot readings, creating a unique and transformative experience. Join us for an evening of spiritual connection and experience the magic that unfolds when intuition and tarot converge. IMPORTANT: Community Members can sign up FOR FREE through The Social Hub app :) 📅 Date: Tuesday, 12 March🕡 Time: 19:00–20:30📍Location: Rooftop",5,5,EUR,The Social Hub - Barcelona Poblenou,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T19:30:00Z,Intuitive Oracle,A snack & learn experience by @thebalihousebarcelona in collaboration with The Social Hub Barcelona.,https://www.eventbrite.dk/e/intuitive-oracle-tickets-850743937017,barcelona,NA
2 hours,Contact the organizer to request a refund.,"Elevate your leadership with this bespoke 2-hour session made specifically for entrepreneurial women. Objective:Illuminate women's leadership skills fostering empowerment and visibility. Structure:> Brainstorming: Explore and amplify your leadership potential through collaborative idea generation.> Belief Review: Challenge and reshape limiting beliefs, unlocking your true leadership capabilities.> Actions & Integration: Set actionable steps and seamlessly integrate newfound empowerment into your leadership approach. Benefits:> Enhanced Visibility: Boost your leadership presence and visibility in the entrepreneurial landscape.> Empowerment: Gain the confidence to lead authentically and make a lasting impact.> Actionable Insights: Acquire practical strategies to implement in your entrepreneurial journey.> Community Support & Networking: Connect with a network of like-minded women, fostering collaboration and shared success.> Belief Transformation: Transform limiting beliefs, unlocking your full potential as a leader. Step into your power. Join us and redefine leadership as an entrepreneurial woman. Limited spots available. Reserve yours now!LinkedIn: Laura Molina Acompañarte IMPORTANT: Community Members can sign up FOR FREE through The Social Hub app :) 📅 Date: Tuesday, 12 March🕡 Time: 18:30–19:30📍Location: Meeting Room 0.7",5,5,EUR,The Social Hub - Barcelona Poblenou,https://schema.org/EventScheduled,2024-03-12T17:30:00Z,2024-03-12T19:30:00Z,Master Mind: Self Leadership & Communication,Elevate your leadership with this bespoke 2-hour session made specifically for entrepreneurial women. A session by Laura Molina.,https://www.eventbrite.dk/e/master-mind-self-leadership-communication-tickets-850753214767,barcelona,NA
2 horas,Contacta con el organizador para solicitar un reembolso.,NA,13.54,13.54,EUR,Dr Lagarto,https://schema.org/EventScheduled,2024-03-12T17:00:00Z,2024-03-12T19:00:00Z,Taller de coctelería #9 - NEGRONI & AMERICANO (18h),​​¡Descubre el arte de la coctelería con nuestros Talleres! Aprende a elaborar un NEGRONI&AMERICANO y al acabar...¡a disfrutarlo!,https://www.eventbrite.es/e/entradas-taller-de-cocteleria-9-negroni-americano-18h-761325062757,barcelona,NA
NA,Contacta con el organizador para solicitar un reembolso.,"Come to do flow yoga classes, on the studio in the heart of Barcelona, outdoors, (if the temperature is higher and warmer than 15ºC we will do them outdoors the Blaumeer studio). I offer a dynamic practice based on Hatha Yoga - combined with Vinyasa Flow, Ashtanga and Release Technique. The class is in English and/or Spanish depending on the audience.",17.8,17.8,EUR,Christine Pohn,https://schema.org/EventScheduled,2024-03-12T09:30:00Z,2024-03-12T10:50:00Z,GENTLE FLOW YOGA INDOORS,GENTLE FLOW YOGA CLASSES on the studio blaumeer yoga!,https://www.eventbrite.com/e/entradas-gentle-flow-yoga-indoors-419776441637,barcelona,Sold out
NA,Contact the organizer to request a refund.,"𝗔𝗿𝘁𝗲 𝗙𝗹ú𝗼𝗿 𝘆 𝗩𝗶𝗻𝗼 |  𝗪𝗶𝗻𝗲 𝗮𝗻𝗱 𝗔𝗿𝘁 𝗘𝘅𝗽𝗲𝗿𝗶𝗲𝗻𝗰𝗲 (English below) 🎨🍷Organizamos Experiencias de Arte Flúor y Vino para que Saques el Artista que Hay en Ti.  Nuestros artistas, os enseñan las técnicas básicas de la pintura Flúor (Neón)  mientras bebemos vino y pintamos nuestra primera obra maestra. C﻿erca de Plaza Catalunya, Barcelona (España). Contactarme para recibir la ubicación exacta o revisar el email (Spam) que os enviaremos la dirección exacta. 𝐅𝐥𝐮𝐨𝐫𝐢𝐧𝐞 𝐀𝐫𝐭 𝐚𝐧𝐝 𝐖𝐢𝐧𝐞 𝐄𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞 🎨🍷We organize Neon Art and Wine Experiences so that you can bring out the Artist in You. Our artists teach you the basic techniques of painting while we drink wine and paint our first masterpiece. N﻿ear Catalunya Square, Barcelona (Spain). Contact me and I give you the full adresss or check the email (Spam) that we will send you the exact address.",39.5,39.5,EUR,Wine and Art Experience Team,https://schema.org/EventScheduled,2024-03-11T17:30:00Z,2024-03-11T20:00:00Z,Wine and Art Experience | Arte y Vino,"We organize Neon Art and Wine Experiences so that you can bring out the Artist in You.
We are gonna have fun, plus Not experience required.",https://www.eventbrite.es/e/wine-and-art-experience-arte-y-vino-tickets-641221299167,barcelona,Sold out
NA,Contact the organizer to request a refund.,"Dinner and a movie are soooo last decade. Instead, you can play a city exploration game like no other, where subtle clues laid out around Barcelona’s historic Gothic Quarter will help you discover amazing places while learning about the hidden historical gems of the city.  Along your travels you will visit places such as Parc de la Ciutadella, The Kiss of Freedom, and the romantic Plaça Reial!   Are you ready for a romance fueled ride through Barcelona? We are inviting you two (or you three - hey, we don’t judge!) to a romantic couples activity that’s part outdoor escape room, part scavenger hunt and part walking tour.  We promise this experience will make you want to kiss and tell <3. We’ve hosted more than 20.000 dates this year. So, we’re pretty sure you will absolutely love it too!  If you don’t, let us know and we’ll live the rest of our lives in shame. So, we’re pretty sure you will absolutely love it too!  But if you don’t, let us know and we’ll live the rest of our  WHAT WILL YOU DO❓ - Learn about the various gems scattered across the charming city streets of Barcelona, including the subtly hidden Kiss of Freedom mural.  - Discover the Gothic Quarter through the historic center of the oldest parts of the city, which stretches from the Mediterranean Sea front to Ronda de Sant Pere.  - Find out uncovered facts about the creators of the city through its deeply rooted history at renown locations such as the Barcelona Cathedral, the Arc de Triomf, and El Pont del Bisbe! HOW DOES IT WORK❓ The entire experience is delivered through a mobile app. 1. Book your tickets 🎫. 2. Get the instructions via email. 3. Download the Questo mobile app (as instructed via email) and head to the starting point on any day that you choose📍. 4﻿. Invite your significant one. FEATURES ✔️ - Available 24/7. - Pause and resume anytime. - Private. -﻿ A bunch of cute & instagrammable places. WHEN CAN YOU TRY THIS EXPERIENCE❓ - date night - anniversary - birthday celebration - holiday date - Valentine’s Day - as a gift for any occasion A﻿GE RECOMMENDATION If you have little ones and want to bring them along with you, feel free to do so, this experience is kid friendly.",11.99,34.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-12T11:00:00Z,2024-03-12T12:30:00Z,Romantic Barcelona: Cute Scavenger Hunt for Couples,Surprise your lover with a cute date idea in Barcelona’s historic Gothic Quarter. Are you ready for a romance fueled ride through Barcelona?,https://www.eventbrite.com/e/romantic-barcelona-cute-scavenger-hunt-for-couples-tickets-677336350257,barcelona,Sold out
NA,Contacta con el organizador para solicitar un reembolso.,"DESCRIPCIÓN El Museo Olímpico de Barcelona se encuentra en la montaña de Montjuïc y ofrece una experiencia única sobre el deporte (sean mayoritarios, minoritarios, olímpicos y no olímpicos, como fútbol, motociclismo, Formula 1, esquí, ciclismo, piragüismo, baseball, ajedrez, tenis ….) Este innovador museo ofrece a sus visitantes una visión general de las diferentes disciplinas deportivas, utilizando tecnología de vanguardia y exposiciones interactivas, así como instalaciones multimedia. A través de sus pantallas interactivas y exposiciones los visitantes pueden experimentar el deporte y revivir momentos de la historia del deporte olímpico. Gracias a sus simuladores se puede correr contra Carl Lewis o Usain Bolt, comprobar cómo nadaba Mark Spitz o Michael Phelps, mejorar la aerodinámica al pedalear en bicicleta o comparar el peso real que pueden llegar a levantar los grandes campeones de halterofilia. Toda una experiencia en el deporte. Además el museo cuenta con una exposición permanente sobre las ciudades sede de las Olimpiadas, desde Barcelona 1992 hasta Londres 2012, y disfrutar de las primeras Olimpiadas que se transmitieron por televisión. En el recorrido podrás disfrutar de Barcelona 92, conocidos como los mejores juegos de la historia. El archivo que el Museo Olímpico de Barcelona tiene sobre las olimpíadas de “Cobi” y “Petra” es impresionante, como es de suponer: desde la parafernalia de la espectacular ceremonia de inauguración En el espacio Ídolos, puedes encontrar referencias, hitos y elementos de los mejores deportistas y momentos de la historia y realizar actividades tan diversas como comparar las zapatillas de grandes deportistas como Michael Jordan, Pau Gasol o Roberto Dueñas, descubrir la colección Samaranch o disfrutar del deporte en directo entre otras. El deporte adaptado para personas con diversos tipos de discapacidad ocupa un espacio destacado en este museo. Desde el Goalball (fútbol para ciegos y deficientes visuales, con una pelota que dentro lleva unos cascabeles) a la primera silla de ruedas de competición, o este trineo adaptado, entre muchos otros. E XPOSICIONES TEMPORALES En la actualidad se encuentra disponible la siguiente exposición temporal: PUNTOS A DESTACAR SERVICIOS INCLUIDOS HORARIOS De octubre a marzo: Martes a sábado: de 10 a 18 h Domingos y festivos: de 10 a 14:30 h De abril a septiembre: Martes a sábado: de 10 a 19 h Domingos y festivos: de 10 a 14:30 h Días cerrados: 1 de enero, 1 de mayo, 25 y 26 de diciembre",0,5.8,EUR,Touristcheck 360,https://schema.org/EventScheduled,2024-03-12T09:00:00Z,2024-03-12T16:30:00Z,Entradas Museu Olímpic i de l’Esport Joan Antoni Samaranch de Barcelona,"Conoce, vive y aprende de los diferentes deportes en el Museu Olímpic i de l'Esport Joan Antoni Samaranch de Barcelona.",https://www.eventbrite.es/e/entradas-entradas-museu-olimpic-i-de-lesport-joan-antoni-samaranch-de-barcelona-201554814877,barcelona,Sold out
NA,Contact the organizer to request a refund.,"‘Dinner and a movie’ is so 2021! Especially when the movie is now played out in the real-world. Let us explain! We’re inviting you both (or you three - hey, we don’t judge) to do one of the romantic-themed open-air escape games in Barcelona. The route you’re going to follow in the city is sprinkled with charming and picturesque places, fun clues and challenges, and romantic stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. Let's play a real-world adventure! HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 130 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 300 different experiences created by a growing network of local content creators and event organizers.",11.99,34.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-12T11:00:00Z,2024-03-12T12:30:00Z,Romantic Barcelona: Outdoor Escape Game for Couples,"If you’re looking for a new and exciting way of spending time with your one and only, family or friends, this is your Eureka moment!",https://www.eventbrite.com/e/romantic-barcelona-outdoor-escape-game-for-couples-tickets-517627627167,barcelona,Sold out
NA,Contact the organizer to request a refund.,"There's a reason why Barcelona has been considered one of the most enchanting cities in the world. Discover some of its most magical spots while following clues and solving puzzles to save your missing colleague ""Agent 23"".Start the walk in the middle of the Born quarter to end up in a beautiful spot at your own pace, without a guide. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,29.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-12T11:00:00Z,2024-03-12T12:30:00Z,Rescue in Barcelona: Outdoor Escape Game,"Embark on a thrilling adventure as you follow clues, solve intricate puzzles, and uncover hidden gems in the city.",https://www.eventbrite.com/e/rescue-in-barcelona-outdoor-escape-game-tickets-707034598517,barcelona,Sold out
NA,Contact the organizer to request a refund.,"The best way to discover the secrets, the highlights of the city and its very origins, with 11 different tastings all throughout the walk! 
 
 Markets, local bars, hidden gems, and local recommendations.
 
 Vegan, vegetarian, gluten free options available. 
 
 Tastings suitable for kids and teenagers, they will have alcohol-free beverages instead of wine.
 
 You will eat churros, jamón, paella, tapas, sip seasonal wines, and more!
 
 Get to know the history behind the corners of this incredible neighborhood while eating and drinking in most famous markets, and hidden bars.
 
 More than 2000 years of history lay in this place, with great buildings, surprising streets, and a cultural melting pot. From the Romans to FC Barcelona, to the explanation of independence movements in Catalonia.
 
 During the walk, you will visit and get the full story of La Rambla, La Boqueria Market, the entrance to Barcino and Roman Walls, The Cathedral of Barcelona, Plaça del Rei, Santa Caterina Market, and much more!",79,79,EUR,PlayTour Barcelona,https://schema.org/EventScheduled,2024-03-12T10:00:00Z,2024-03-12T13:00:00Z,Cultural walking tour in Barcelona with food & wine tasting,"Walk around the Old Town of Barcelona to know its secrets, taste the highlights of Spanish cuisine and sip the best wines!",https://www.eventbrite.es/e/cultural-walking-tour-in-barcelona-with-food-wine-tasting-tickets-625201874637,barcelona,Sold out
NA,Contact the organizer to request a refund.,"We invite you to come train with us on an advanced/professional level! Looking to keep up your training and deepen your skills? This is the place for you. Each Tuesday from 19.00h to 21.00h one teacher will share his practice. Every trimester the program will change and a new teacher will be there to learn from! . Schedule of the 2nd trimester (9th of January –20th of March) *Exceptionally the last class of the trimester will happen on WEDNESDAY 20th March (instead Tuesday 19th March) Schedule of the 3rd trimester (2nd of April –28th of May) COMING UP SOON! . If you wish to buy a 10-class package (100€) or a 5-class package (60€), please contact us at the following email : communication@freezone-bcn.com. . . . . . Español : ¡Te invitamos a que vengas a entrenar con nosotrxs en un nivel avanzado/profesional! ¿Buscas mantener tu entrenamiento y profundizar tus habilidades? Este es el lugar para ti. Cada martes de 19.00h a 21.00h un profe compartirá su práctica. ¡Cada trimestre, el programa cambiará y vendrá un nuevo profe! . Calendario del segundo trimestre (9 de enero – 20 de marzo) *Excepcionalmente la ultima clase del trimestre tendrá lugar el MIERCOLES 20 de marzo (en vez del martes 19 de marzo) Calendario del tercer trimestre (2 de abril - 28 de mayo) PROXIMAMENTE! . Si deseas comprar un bono de 10 clases (100€) o un bono de 5 clases (60€), por favor contáctanos al mail siguiente : communication@freezone-bcn.com . .",20,20,EUR,"FREEZONE Home for Creation, Movement & Performance",https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T20:00:00Z,LATE PRO TRAINING  in FREEZONE,"Advanced/professional dance training in the evening!
¡Entrenamiento de baile avanzado/profesional por la noche!",https://www.eventbrite.es/e/late-pro-training-in-freezone-tickets-791446867887,barcelona,Sold out
